,user,username
8392,1540368495220760582,chicfryrice
8394,16744119,TheAncientMil
8396,1333974793230684163,Ophelia574
8410,945693405694357504,Jessicam6946
8414,1615429877842206720,graichen_faith
8422,1058703612279324672,drishtiiaseng
8428,25969442,4danlopez
8470,15683363,solm
8476,17684375,GlobalNational
8481,1701068976896565248,thenightlyau
8487,83649318,MLHealthUnit
8492,1014542721560633349,HawaiiChar
8529,45485260,tbenst
8548,792449084,JasonUkman
8565,972040640732319746,AlbionSalter
8588,1513233123340783618,gavinscocaine
8607,67334436,PartnershipSWK
8614,454090001,LiamSchubel
8635,1457777663993528322,AaronHinman4
8641,1319816078,BanquoDyar
8650,469509187,GeneticLiteracy
8666,1087380412089987077,therecount
8693,628216371,DoreeOhhhh
8697,702125877,QuibellPaul
8710,1513904836680503301,Wideawa68182181
8713,872124398181900288,Teh_Snowflake
8727,357647590,ShotAtLife
8741,346082172,LorenAdler
8748,3082917726,_YesItsYaya
8757,27015752,CityNewsKIT
8766,1264870166854275072,Oceanworldfree
8767,1872386564585922560,PatriciaBr83999
8773,1720178790117031936,FirstMedia_ngr
8787,1090405241474990080,selambbb
8831,117858927,emilykmay
8849,327234436,BasketNews_com
8944,2643570679,_StephanieMyers
8948,120206023,AnnalsofIM
8953,1404197195285471242,BAblsage
8987,592078598,DrDCNguyen
8996,373932945,amused_as_hell
9011,1459872168,SandraWeeden
9044,1582488509105020929,RiledUpForSwift
9046,1675163728722137088,JB326278
9052,1510165136572620800,RuftaK_TDF
9056,4491531140,JackPolakoff
9059,288311590,BD_Africa
9068,41822696,UKHSA
9078,432145612,BruteForceSwim
9082,80857088,NVICLoeDown
9115,1402239763101409282,SmithySniffy
9121,4746090250,NBC10Boston
9128,734252074267856897,peters_malcolm
9130,4024414932,PennyACarrier
9133,545890049,CathyGoodman4
9139,23847371,dave1agar
9153,588587717,GautengHealth
9175,1353829434898395138,AmericanFreedom
9217,222776030,Motiryot_
9234,3108351,WSJ
9275,826600694,Newswize
9277,1877982660624003072,amandashowe01
9279,12831902,texmed
9288,31448472,gongs
9299,407395156,CaulfieldTim
9330,905027715832705025,LambethTogether
9349,14753993,RSOE_EDIS
9372,1396575560,Azeem_Majeed
9374,378778417,DrAliSKhan
9383,606480640,DirOPSPAHO
9396,26332143,SPECNews1BUF
9399,20076659,theMRC
9400,35466620,theheraldsun
9402,28114337,MMOrpgPrincess
9410,2507713069,JoeyGarciaWV
9459,1405291728819601411,mec1539
9464,4293654257,CrowMagnumMan3
9476,1408277296025247749,Dr_Sai5
9484,1024793756804030466,NonicknameTX
9487,731357093358411776,Marina87251891
9490,957547182,followlasg
9500,967356481,bhrenton
9502,872466981441552384,LouieTheRed1
9508,96857244,41NBC
9553,1494033632595349505,WaywardRabbler
9575,1185968050463313921,Uda_Parrhesia
9583,1026248368052416512,BtothaAtothaD
9592,129772578,just_brash
9598,1375479012424880138,dsoft_lab
